"WOCHENTAG";"DATUM";"VON";"BIS";"DAUER_IN_MINUTEN";"LV_NUMMER";"TITEL";"LV_ART";"LV_GRUPPE";"ORT";"LERNEINHEIT";"UNTERRICHTSEINHEIT";"EREIGNIS_TYP";"TERMIN_TYP";"VORTRAGENDER_KONTAKTPERSON";"ANMERKUNG"
"MO";"21.10.2024";"08:30";"10:00";"90";"1100192";"Mathematik I (Diskussionsstunden)";"UE";"Gruppe 1";"AS (1050|U101)";"";"";"Abhaltung";"fix";"Angerbauer, Jonas Nico";""
"MO";"21.10.2024";"08:30";"10:00";"90";"4114954";"Selbstrechenübung Mechanik I für Maschinenbauer";"KO";"Standardgruppe";"HKW 2 (1132|303)";"";"";"Abhaltung";"fix";"Ban, Paul Michael; Dr. rer. nat.";""
"MO";"21.10.2024";"10:30";"12:00";"90";"4103785";"Vorrechenübung Mechanik I für Maschinenbauer";"UE";"Gruppe 2";"Grüner Hörsaal AM (Gr) (1420|001)";"";"";"Abhaltung";"fix";"Polydoras, Vasileios; M. Sc. / Wan, Chengrui; M. Sc. / Focks, Tobias; M. Sc.";""
"MO";"21.10.2024";"12:30";"14:00";"90";"1101513";"Mathematik I";"VO";"Standardgruppe";"H01 (1385|101)";"";"";"Abhaltung";"fix";"Kunsch, Robert Joachim; Dr. rer. nat.";""
"MO";"21.10.2024";"14:30";"16:00";"90";"4102374";"Kommunikation und Organisationsentwicklung";"VO";"Standardgruppe";"Otto Fuchs-Hörsaal (H03) (1385|003)";"";"";"Abhaltung";"fix";"Isenhardt, Ingrid; apl. Prof. Dr. / Brand, Johannes; Dipl.-Math.";""
"MO";"21.10.2024";"14:30";"16:00";"90";"4102374";"Kommunikation und Organisationsentwicklung";"VO";"Standardgruppe";"H02 (1385|102)";"";"";"Abhaltung";"fix";"Isenhardt, Ingrid; apl. Prof. Dr. / Brand, Johannes; Dipl.-Math.";""
"MO";"21.10.2024";"16:30";"18:00";"90";"4102375";"Kommunikation und Organisationsentwicklung";"LU";"Standardgruppe";"Großer Hörsaal AM (1420|210)";"";"";"Abhaltung";"fix";"Isenhardt, Ingrid; apl. Prof. Dr. / Brand, Johannes; Dipl.-Math.";""
"MO";"21.10.2024";"16:30";"18:00";"90";"4114954";"Selbstrechenübung Mechanik I für Maschinenbauer";"KO";"Gruppe 11";"HKW 1 (1132|203)";"";"";"Abhaltung";"fix";"Ban, Paul Michael; Dr. rer. nat.";""
"DI";"22.10.2024";"08:30";"10:00";"90";"4153944";"Maschinengestaltung I - Tutorengruppe";"TU";"Gruppe 12";"SE 001 (1580|001)";"";"";"Abhaltung";"fix";"Jacobs, Georg; Univ.-Prof. Dr.-Ing. / Moers, Frederik; M. Sc.";""
"DI";"22.10.2024";"14:30";"16:00";"90";"1100192";"Mathematik I (Diskussionsstunden)";"UE";"Gruppe 11";"IV (1010|141)";"";"";"Abhaltung";"fix";"Hoppe, Frederik; M. Sc.";""
"DI";"22.10.2024";"14:30";"16:00";"90";"4103785";"Vorrechenübung Mechanik I für Maschinenbauer";"UE";"Gruppe 5";"Eph (1090|321)";"";"";"Abhaltung";"fix";"Polydoras, Vasileios; M. Sc. / Wan, Chengrui; M. Sc. / Focks, Tobias; M. Sc.";""
"DI";"22.10.2024";"16:30";"18:00";"90";"1101513";"Mathematik I";"VO";"Standardgruppe";"H01 (1385|101)";"";"";"Abhaltung";"fix";"Kunsch, Robert Joachim; Dr. rer. nat.";""
"MI";"23.10.2024";"08:30";"10:00";"90";"4103785";"Vorrechenübung Mechanik I für Maschinenbauer";"UE";"Gruppe 1";"H07 (1385|104)";"";"";"Abhaltung";"fix";"Polydoras, Vasileios; M. Sc. / Wan, Chengrui; M. Sc. / Focks, Tobias; M. Sc.";""
"MI";"23.10.2024";"13:30";"14:15";"45";"1304045";"Physik (für Studierende des Maschinenbaus)";"UE";"Gruppe 2";"Roter Hörsaal AM (Ro) (1420|002)";"";"";"Abhaltung";"fix";"Pretz, Jörg Johannes; Univ.-Prof. Dr. rer. nat.";""
"MI";"23.10.2024";"14:30";"15:15";"45";"4101188";"Maschinengestaltung I  (für Maschinenbauer u. Wirt-Ing. 1. Sem.)";"VO";"Standardgruppe";"Grüner Hörsaal AM (Gr) (1420|001)";"";"";"Abhaltung";"fix";"Jacobs, Georg; Univ.-Prof. Dr.-Ing.";""
"MI";"23.10.2024";"14:30";"15:15";"45";"4101188";"Maschinengestaltung I  (für Maschinenbauer u. Wirt-Ing. 1. Sem.)";"VO";"Standardgruppe";"Großer Hörsaal AM (1420|210)";"";"";"Abhaltung";"fix";"Jacobs, Georg; Univ.-Prof. Dr.-Ing.";""
"MI";"23.10.2024";"16:30";"17:15";"45";"1502370";"Grundzüge der Chemie";"UE";"Gruppe 1";"H01 (1385|101)";"";"";"Abhaltung";"fix";"Houben, Andreas Johannes; Dr. rer. nat.";""
"DO";"24.10.2024";"10:30";"12:00";"90";"1300856";"Physik (für Studierende des Maschinenbaus)";"VO";"Standardgruppe";"H01 (1385|101)";"";"";"Abhaltung";"fix";"Pretz, Jörg Johannes; Univ.-Prof. Dr. rer. nat.";""
"DO";"24.10.2024";"12:30";"14:00";"90";"1103935";"Mathematik I";"UE";"Gruppe 2";"H01 (1385|101)";"";"";"Abhaltung";"fix";"Akpanya, Reymond Oluwaseun; M. Sc. / Nießen, Jonas; M. Sc.";""
"DO";"24.10.2024";"14:30";"16:00";"90";"1100192";"Mathematik I (Diskussionsstunden)";"UE";"Gruppe 12";"E1 (1090|301)";"";"";"Abhaltung";"fix";"Hoppe, Frederik; M. Sc.";""
